Ticket #,Customer Complaint,Date,Date_month_year,Time,Received Via,City,State,Zip code,Status,Filing on Behalf of Someone,_template_category
1,Just leaving feedback that the chat support could be a little faster to respond. I would appreciate a quick response.,2025-08-17,Aug-25,04:47,Internet,Miami,FL,33101,Open,No,Service
2,"My monthly bill seems higher than usual this cycle, can you check the breakdown? This is not urgent, just wanted to flag it.",2025-01-28,Jan-25,17:12,Customer Care Call,Boston,MA,02101,Pending,No,Billing
3,"My connection drops every hour and I work from home, I cannot keep losing income like this.",2025-06-13,Jun-25,22:27,Customer Care Call,San Diego,CA,92101,Closed,No,Technical
4,I would like to ask about the refund process for a canceled service.,2026-01-25,Jan-26,03:22,Customer Care Call,Austin,TX,73301,Closed,Yes,Financial
5,The agent was extremely rude to me on the phone and hung up before resolving my issue. I am considering switching providers over this.,2025-10-28,Oct-25,20:39,Customer Care Call,Austin,TX,73301,Pending,Yes,Service
6,I was charged $22.50 twice on my bill this month and would like it corrected. I would appreciate a quick response.,2025-08-27,Aug-25,03:24,Customer Care Call,Austin,TX,73301,Solved,No,Billing
7,This is the second month in a row my bill is wrong by $40 and support keeps ignoring my emails. This has happened before and I don't want it to happen again.,2025-03-15,Mar-25,19:40,Internet,Seattle,WA,98101,Pending,No,Billing
8,"My internet connection keeps disconnecting every few minutes since yesterday. I need this resolved immediately, I cannot wait any longer!",2025-08-13,Aug-25,21:20,Internet,Boston,MA,02101,Pending,Yes,Technical
9,"Nobody has followed up with me after promising a callback a week ago, this is unacceptable.",2025-11-19,Nov-25,06:41,Customer Care Call,Miami,FL,33101,Solved,No,Service
10,"This is the second month in a row my bill is wrong by $22.50 and support keeps ignoring my emails. I need this resolved immediately, I cannot wait any longer!",2025-09-27,Sep-25,23:37,Customer Care Call,Boston,MA,02101,Solved,No,Billing
11,I would like to ask about the refund process for a canceled service. Thank you for looking into this.,2025-02-18,Feb-25,03:09,Internet,Austin,TX,73301,Solved,Yes,Financial
12,Nobody will process my $89.99 refund even though I have called two weeks in a row about it. I have been a loyal customer for years and expected better.,2025-01-12,Jan-25,21:46,Internet,Seattle,WA,98101,Closed,No,Financial
